batter,total_runs,total_balls,outs,strike_rate,average,fours,sixes
Rasikh Salam,12,10,1,120.0,12.0,1,0
Ravi Bishnoi,8,18,2,44.44444444444444,4.0,1,0
S Anirudha,136,121,8,112.39669421487604,17.0,9,7
S Aravind,59,59,3,100.0,19.666666666666668,7,0
S Badree,13,25,5,52.0,2.6,0,0
S Badrinath,1441,1245,48,115.74297188755021,30.020833333333332,154,28
S Chanderpaul,25,33,3,75.75757575757575,8.333333333333334,4,0
S Dhawan,6244,5083,179,122.84084202242771,34.88268156424581,701,137
S Dube,688,541,28,127.17190388170056,24.571428571428573,46,38
S Gopal,180,173,13,104.04624277456647,13.846153846153847,19,2
S Kaul,20,36,3,55.55555555555556,6.666666666666667,1,0
S Kaushik,0,1,1,0.0,0.0,0,0
S Ladda,0,10,2,0.0,0.0,0,0
S Lamichhane,0,1,1,0.0,0.0,0,0
S Nadeem,39,88,16,44.31818181818182,2.4375,2,0
S Narwal,37,29,4,127.58620689655173,9.25,6,0
S Rana,91,82,5,110.97560975609757,18.2,9,1
S Randiv,2,4,1,50.0,2.0,0,0
S Sohal,368,311,18,118.32797427652733,20.444444444444443,34,18
S Sreesanth,34,57,3,59.64912280701754,11.333333333333334,6,0
S Sriram,31,38,2,81.57894736842105,15.5,3,0
S Tyagi,3,4,0,75.0,3.0,0,0
S Vidyut,145,115,8,126.08695652173914,18.125,21,3
SA Abbott,22,18,2,122.22222222222223,11.0,1,2
SA Asnodkar,423,352,19,120.17045454545455,22.263157894736842,56,10
SA Yadav,2644,1973,88,134.0091231626964,30.045454545454547,284,84
SB Bangar,49,58,6,84.48275862068965,8.166666666666666,1,3
SB Jakati,28,30,2,93.33333333333333,14.0,3,0
SB Joshi,6,16,2,37.5,3.0,0,0
SB Styris,131,134,7,97.76119402985076,18.714285714285715,10,3
SB Wagh,2,3,2,66.66666666666666,1.0,0,0
SC Ganguly,1349,1326,54,101.73453996983409,24.98148148148148,137,42
SD Chitnis,99,92,7,107.6086956521739,14.142857142857142,10,2
SD Lad,15,13,1,115.38461538461537,15.0,1,1
SE Bond,1,2,1,50.0,1.0,0,0
SE Marsh,2489,1913,65,130.10977522216413,38.292307692307695,269,78
SE Rutherford,106,107,7,99.06542056074767,15.142857142857142,3,8
SJ Srivastava,5,5,1,100.0,5.0,0,0
SK Raina,5536,4177,168,132.53531242518554,32.95238095238095,506,204
SK Trivedi,42,61,8,68.85245901639344,5.25,3,1
SK Warne,198,219,19,90.41095890410958,10.421052631578947,14,6
SL Malinga,88,103,12,85.43689320388349,7.333333333333333,6,5
SM Curran,337,230,15,146.52173913043478,22.466666666666665,30,18
SM Harwood,9,14,0,64.28571428571429,9.0,0,0
SM Katich,241,191,10,126.17801047120419,24.1,26,8
SM Pollock,147,116,8,126.72413793103448,18.375,12,8
SMSM Senanayake,10,17,1,58.82352941176471,10.0,0,0
SN Khan,532,394,25,135.0253807106599,21.28,59,13
SN Thakur,173,138,14,125.36231884057972,12.357142857142858,12,8
SO Hetmyer,831,577,26,144.0207972270364,31.96153846153846,55,52
SP Fleming,196,171,9,114.61988304093566,21.77777777777778,27,3
SP Goswami,293,307,20,95.43973941368078,14.65,32,3
SP Jackson,61,57,6,107.01754385964912,10.166666666666666,5,1
SP Narine,1025,664,64,154.36746987951807,16.015625,112,63
SPD Smith,2495,1999,78,124.81240620310155,31.987179487179485,226,60
SR Tendulkar,2334,2044,71,114.18786692759295,32.87323943661972,296,29
SR Watson,3880,2892,126,134.1632088520055,30.793650793650794,377,190
SS Cottrell,0,2,1,0.0,0.0,0,0
SS Iyer,2780,2295,93,121.13289760348584,29.892473118279568,238,99
SS Prabhudessai,67,62,5,108.06451612903226,13.4,7,2
SS Shaikh,6,7,0,85.71428571428571,6.0,1,0
SS Tiwary,1494,1291,50,115.72424477149497,29.88,111,50
ST Jayasuriya,768,573,29,134.03141361256544,26.482758620689655,84,39
STR Binny,880,700,44,125.71428571428571,20.0,66,35
SV Samson,3526,2663,119,132.40705970709726,29.630252100840337,279,158
SW Billings,503,399,26,126.06516290726817,19.346153846153847,40,20
SW Tait,23,26,3,88.46153846153845,7.666666666666667,1,1
Sachin Baby,144,123,10,117.07317073170731,14.4,11,5
Salman Butt,193,172,7,112.20930232558139,27.571428571428573,30,2
Sandeep Sharma,52,66,5,78.78787878787878,10.4,4,0
Shahbaz Ahmed,279,253,15,110.27667984189723,18.6,18,11
Shahid Afridi,81,46,8,176.08695652173913,10.125,7,6
Shakib Al Hasan,795,665,40,119.54887218045114,19.875,73,21
Shashank Singh,69,47,4,146.80851063829786,17.25,5,4
Shivam Mavi,51,58,9,87.93103448275862,5.666666666666667,4,2
Shivam Sharma,5,3,1,166.66666666666669,5.0,1,0
Shoaib Ahmed,1,6,2,16.666666666666664,0.5,0,0
Shoaib Akhtar,2,8,1,25.0,2.0,0,0
Shoaib Malik,52,49,4,106.12244897959184,13.0,5,0
Shubman Gill,1900,1555,59,122.18649517684888,32.20338983050848,188,47
Simarjeet Singh,7,8,1,87.5,7.0,0,0
Sohail Tanvir,36,31,3,116.12903225806453,12.0,3,1
Sunny Gupta,0,1,1,0.0,0.0,0,0
Sunny Singh,43,31,4,138.70967741935485,10.75,6,1
Swapnil Singh,12,20,3,60.0,4.0,0,0
T Banton,18,22,2,81.81818181818183,9.0,1,1
T Henderson,11,16,1,68.75,11.0,0,1
T Kohli,11,20,3,55.00000000000001,3.6666666666666665,0,1
T Natarajan,3,5,0,60.0,3.0,0,0
T Shamsi,2,4,0,50.0,2.0,0,0
T Stubbs,2,4,1,50.0,2.0,0,0
T Taibu,31,26,3,119.23076923076923,10.333333333333334,3,0
T Thushara,12,19,2,63.1578947368421,6.0,0,0
TA Boult,53,49,5,108.16326530612245,10.6,2,2
TD Paine,10,29,2,34.48275862068966,5.0,0,0
TG Southee,120,108,11,111.11111111111111,10.909090909090908,8,4
TH David,187,94,7,198.93617021276594,26.714285714285715,12,16
TK Curran,127,108,5,117.59259259259258,25.4,10,3
TL Seifert,26,26,3,100.0,8.666666666666666,4,0
TL Suman,676,587,30,115.1618398637138,22.533333333333335,55,26
TM Dilshan,1153,1047,41,110.12416427889207,28.121951219512194,140,24
TM Head,205,151,6,135.76158940397352,34.166666666666664,12,8
TM Srivastava,8,11,1,72.72727272727273,8.0,0,0
TR Birt,75,59,5,127.11864406779661,15.0,9,2
TS Mills,8,14,4,57.14285714285714,2.0,0,1
TU Deshpande,21,12,1,175.0,21.0,2,1
Tilak Varma,397,313,10,126.83706070287539,39.7,29,16
U Kaul,0,1,0,0.0,0.0,0,0
UA Birla,7,15,1,46.666666666666664,7.0,1,0
UBT Chand,300,314,20,95.54140127388536,15.0,32,9
UT Khawaja,127,105,5,120.95238095238095,25.4,14,3
UT Yadav,177,176,18,100.56818181818181,9.833333333333334,15,8
Umar Gul,39,19,3,205.26315789473685,13.0,1,5
Umran Malik,4,8,1,50.0,4.0,0,0
V Kohli,6634,5266,193,125.97797189517661,34.373056994818654,581,219
V Pratap Singh,0,1,1,0.0,0.0,0,0
V Sehwag,2728,1833,98,148.82705946535734,27.836734693877553,334,106
V Shankar,731,616,30,118.66883116883118,24.366666666666667,46,28
VG Arora,5,14,2,35.714285714285715,2.5,0,0
VH Zol,29,26,2,111.53846153846155,14.5,3,1
VR Aaron,50,73,4,68.4931506849315,12.5,2,2
VR Iyer,552,474,20,116.45569620253164,27.6,54,21
VRV Singh,4,3,1,133.33333333333331,4.0,1,0
VS Malik,7,7,1,100.0,7.0,1,0
VS Yeligati,2,2,1,100.0,2.0,0,0
VVS Laxman,282,271,16,104.0590405904059,17.625,33,5
VY Mahesh,15,28,2,53.57142857142857,7.5,0,0
Virat Singh,15,26,3,57.692307692307686,5.0,1,0
Vishnu Vinod,19,26,3,73.07692307692307,6.333333333333333,1,1
W Jaffer,130,129,7,100.7751937984496,18.571428571428573,14,3
WA Mota,56,76,5,73.68421052631578,11.2,2,0
WD Parnell,63,80,9,78.75,7.0,4,1
WP Saha,2427,1951,96,124.39774474628396,25.28125,231,76
WPUJC Vaas,81,73,7,110.95890410958904,11.571428571428571,2,3
Washington Sundar,318,278,23,114.38848920863309,13.826086956521738,26,9
X Thalaivan Sargunam,10,17,1,58.82352941176471,10.0,0,0
Y Gnaneswara Rao,19,18,1,105.55555555555556,19.0,3,0
Y Nagar,285,271,15,105.1660516605166,19.0,20,9
Y Prithvi Raj,0,1,0,0.0,0.0,0,0
Y Venugopal Rao,985,865,42,113.87283236994219,23.452380952380953,77,37
YA Abdulla,0,1,0,0.0,0.0,0,0
YBK Jaiswal,547,410,23,133.41463414634148,23.782608695652176,62,22
YK Pathan,3222,2334,111,138.04627249357327,29.027027027027028,263,161
YS Chahal,37,89,6,41.57303370786517,6.166666666666667,0,0
YV Takawale,192,183,8,104.91803278688525,24.0,26,3
Yash Dayal,0,1,1,0.0,0.0,0,0
Yashpal Singh,47,67,4,70.1492537313433,11.75,5,0
Younis Khan,3,7,1,42.857142857142854,3.0,0,0
Yuvraj Singh,2754,2207,109,124.78477571363842,25.26605504587156,218,149
Z Khan,117,141,15,82.97872340425532,7.8,11,2
